timestamp,prefix,landlord_as,tenant_as,event_type
2026-04-02 02:58:13,103.84.55.0/24,136225,136184,LEASE_OR_HIJACK
2026-04-02 02:58:14,102.222.68.0/23,37027,15399,LEASE_OR_HIJACK
2026-04-02 02:58:14,102.222.68.0/23,15399,37027,LEASE_OR_HIJACK
2026-04-02 02:58:20,102.222.68.0/23,37027,15399,LEASE_OR_HIJACK
2026-04-02 02:58:21,16.14.229.0/24,20115,7843,LEASE_OR_HIJACK
2026-04-02 02:58:29,16.14.229.0/24,7843,20115,LEASE_OR_HIJACK
2026-04-02 02:58:31,5.183.116.0/24,18186,401922,LEASE_OR_HIJACK
2026-04-02 02:58:31,38.240.54.0/24,213122,931,LEASE_OR_HIJACK
2026-04-02 02:58:31,178.173.234.0/24,213122,931,LEASE_OR_HIJACK
2026-04-02 02:58:31,5.252.165.0/24,213122,931,LEASE_OR_HIJACK
2026-04-02 02:58:31,38.255.50.0/24,213122,931,LEASE_OR_HIJACK
2026-04-02 02:58:31,185.147.34.0/24,213122,931,LEASE_OR_HIJACK
2026-04-02 02:58:31,103.104.251.0/24,213122,931,LEASE_OR_HIJACK
2026-04-02 02:58:31,38.240.33.0/24,213122,931,LEASE_OR_HIJACK
2026-04-02 02:58:31,38.255.49.0/24,213122,931,LEASE_OR_HIJACK
2026-04-02 02:58:31,38.240.32.0/24,213122,931,LEASE_OR_HIJACK
2026-04-02 02:58:31,135.136.134.0/24,213122,931,LEASE_OR_HIJACK
2026-04-02 02:58:31,103.202.55.0/24,213122,931,LEASE_OR_HIJACK
2026-04-02 02:58:31,89.37.99.0/24,213122,931,LEASE_OR_HIJACK
2026-04-02 02:58:31,38.255.61.0/24,213122,931,LEASE_OR_HIJACK
2026-04-02 02:58:31,194.114.139.0/24,57695,23961,LEASE_OR_HIJACK
2026-04-02 02:58:31,194.156.163.0/24,57695,23961,LEASE_OR_HIJACK
2026-04-02 02:58:32,45.155.255.0/24,400395,20200,LEASE_OR_HIJACK
2026-04-02 02:58:39,102.217.57.0/24,15399,37027,LEASE_OR_HIJACK
2026-04-02 02:58:39,102.217.58.0/23,15399,37027,LEASE_OR_HIJACK
2026-04-02 02:58:39,102.222.68.0/23,15399,37027,LEASE_OR_HIJACK
2026-04-02 02:58:41,16.14.229.0/24,20115,7843,LEASE_OR_HIJACK
2026-04-02 02:58:41,5.183.116.0/24,401922,18186,LEASE_OR_HIJACK
2026-04-02 02:58:41,45.155.255.0/24,20200,400395,LEASE_OR_HIJACK
2026-04-02 02:58:46,102.222.68.0/23,37027,15399,LEASE_OR_HIJACK
2026-04-02 02:58:46,45.155.255.0/24,400395,20200,LEASE_OR_HIJACK
2026-04-02 02:58:46,5.183.116.0/24,18186,401922,LEASE_OR_HIJACK
2026-04-02 02:58:50,16.14.229.0/24,7843,20115,LEASE_OR_HIJACK
2026-04-02 02:58:51,102.222.68.0/23,15399,37027,LEASE_OR_HIJACK
2026-04-02 02:58:51,45.155.255.0/24,20200,400395,LEASE_OR_HIJACK
2026-04-02 02:58:53,102.222.68.0/23,37027,15399,LEASE_OR_HIJACK
2026-04-02 02:59:01,45.155.255.0/24,400395,20200,LEASE_OR_HIJACK
2026-04-02 02:59:01,16.14.229.0/24,20115,7843,LEASE_OR_HIJACK
2026-04-02 02:59:01,5.183.116.0/24,401922,18186,LEASE_OR_HIJACK
2026-04-02 02:59:02,45.155.255.0/24,20200,400395,LEASE_OR_HIJACK
2026-04-02 02:59:03,178.173.234.0/24,931,213122,LEASE_OR_HIJACK
2026-04-02 02:59:03,5.252.165.0/24,931,213122,LEASE_OR_HIJACK
2026-04-02 02:59:03,38.255.50.0/24,931,213122,LEASE_OR_HIJACK
2026-04-02 02:59:03,185.147.34.0/24,931,213122,LEASE_OR_HIJACK
2026-04-02 02:59:03,103.104.251.0/24,931,213122,LEASE_OR_HIJACK
2026-04-02 02:59:03,38.240.33.0/24,931,213122,LEASE_OR_HIJACK
2026-04-02 02:59:03,38.255.49.0/24,931,213122,LEASE_OR_HIJACK
2026-04-02 02:59:03,38.240.32.0/24,931,213122,LEASE_OR_HIJACK
2026-04-02 02:59:03,135.136.134.0/24,931,213122,LEASE_OR_HIJACK
2026-04-02 02:59:03,103.202.55.0/24,931,213122,LEASE_OR_HIJACK
2026-04-02 02:59:03,89.37.99.0/24,931,213122,LEASE_OR_HIJACK
2026-04-02 02:59:03,38.255.61.0/24,931,213122,LEASE_OR_HIJACK
2026-04-02 02:59:03,194.114.139.0/24,23961,57695,LEASE_OR_HIJACK
2026-04-02 02:59:03,194.156.163.0/24,23961,57695,LEASE_OR_HIJACK
2026-04-02 02:59:04,38.240.54.0/24,931,213122,LEASE_OR_HIJACK
2026-04-02 02:59:10,16.14.229.0/24,7843,20115,LEASE_OR_HIJACK
2026-04-02 02:59:12,102.222.68.0/23,15399,37027,LEASE_OR_HIJACK
2026-04-02 02:59:25,102.222.68.0/23,37027,15399,LEASE_OR_HIJACK
2026-04-02 02:59:43,45.155.255.0/24,400395,20200,LEASE_OR_HIJACK
2026-04-02 02:59:49,45.155.255.0/24,20200,400395,LEASE_OR_HIJACK
2026-04-02 02:59:52,102.222.68.0/23,15399,37027,LEASE_OR_HIJACK
2026-04-02 03:00:20,45.155.255.0/24,400395,20200,LEASE_OR_HIJACK
2026-04-02 03:00:24,45.155.255.0/24,20200,400395,LEASE_OR_HIJACK
2026-04-02 03:00:33,45.178.81.0/24,271627,273398,LEASE_OR_HIJACK
2026-04-02 03:00:33,45.178.81.0/24,273398,271627,LEASE_OR_HIJACK
2026-04-02 03:00:43,45.155.255.0/24,400395,20200,LEASE_OR_HIJACK
2026-04-02 03:00:43,45.155.255.0/24,20200,400395,LEASE_OR_HIJACK
2026-04-02 03:00:44,45.155.255.0/24,400395,20200,LEASE_OR_HIJACK
2026-04-02 03:00:45,193.10.255.0/24,2603,2832,LEASE_OR_HIJACK
2026-04-02 03:00:45,193.10.255.0/24,2832,2603,LEASE_OR_HIJACK
2026-04-02 03:00:46,45.155.255.0/24,20200,400395,LEASE_OR_HIJACK
2026-04-02 03:01:04,16.14.229.0/24,20115,7843,LEASE_OR_HIJACK
2026-04-02 03:01:12,16.14.229.0/24,7843,20115,LEASE_OR_HIJACK
2026-04-02 03:01:39,164.74.125.0/24,17025,46887,LEASE_OR_HIJACK
2026-04-02 03:01:39,164.74.129.0/24,17025,46887,LEASE_OR_HIJACK
2026-04-02 03:01:39,164.74.123.0/24,17025,46887,LEASE_OR_HIJACK
2026-04-02 03:01:39,164.74.122.0/24,17025,46887,LEASE_OR_HIJACK
2026-04-02 03:01:42,205.209.195.0/24,17025,46887,LEASE_OR_HIJACK
2026-04-02 03:01:42,205.209.196.0/24,17025,46887,LEASE_OR_HIJACK
2026-04-02 03:01:55,117.18.110.0/24,58779,64047,LEASE_OR_HIJACK
2026-04-02 03:02:15,103.84.55.0/24,136184,136225,LEASE_OR_HIJACK
2026-04-02 03:02:20,103.115.131.0/24,151690,137085,LEASE_OR_HIJACK
2026-04-02 03:02:20,103.115.131.0/24,137085,151690,LEASE_OR_HIJACK
2026-04-02 03:02:21,103.94.71.0/24,136617,7,LEASE_OR_HIJACK
2026-04-02 03:02:22,16.14.229.0/24,20115,7843,LEASE_OR_HIJACK
2026-04-02 03:02:23,16.14.229.0/24,7843,20115,LEASE_OR_HIJACK
2026-04-02 03:02:23,16.14.229.0/24,20115,7843,LEASE_OR_HIJACK
2026-04-02 03:02:29,185.233.170.0/24,28885,204974,LEASE_OR_HIJACK
2026-04-02 03:02:29,188.65.30.0/24,28885,15679,LEASE_OR_HIJACK
2026-04-02 03:02:29,188.65.24.0/24,28885,15679,LEASE_OR_HIJACK
2026-04-02 03:02:30,185.186.205.0/24,28885,206350,LEASE_OR_HIJACK
2026-04-02 03:02:32,16.14.229.0/24,7843,20115,LEASE_OR_HIJACK
2026-04-02 03:02:36,185.233.170.0/24,204974,28885,LEASE_OR_HIJACK
2026-04-02 03:02:39,185.186.205.0/24,206350,28885,LEASE_OR_HIJACK
2026-04-02 03:02:40,38.94.229.0/24,141672,174,LEASE_OR_HIJACK
2026-04-02 03:02:40,38.94.229.0/24,174,141672,LEASE_OR_HIJACK
2026-04-02 03:02:41,185.186.205.0/24,28885,206350,LEASE_OR_HIJACK
2026-04-02 03:02:43,16.14.229.0/24,20115,7843,LEASE_OR_HIJACK
2026-04-02 03:02:43,16.14.229.0/24,7843,20115,LEASE_OR_HIJACK
2026-04-02 03:02:43,16.14.229.0/24,20115,7843,LEASE_OR_HIJACK
2026-04-02 03:02:45,188.65.30.0/24,15679,28885,LEASE_OR_HIJACK
2026-04-02 03:02:45,188.65.24.0/24,15679,28885,LEASE_OR_HIJACK
2026-04-02 03:02:47,185.186.205.0/24,206350,28885,LEASE_OR_HIJACK
2026-04-02 03:02:50,103.94.71.0/24,7,136617,LEASE_OR_HIJACK
2026-04-02 03:02:52,16.14.229.0/24,7843,20115,LEASE_OR_HIJACK
2026-04-02 03:02:56,194.156.163.0/24,57695,23961,LEASE_OR_HIJACK
2026-04-02 03:02:56,194.114.139.0/24,57695,23961,LEASE_OR_HIJACK
2026-04-02 03:02:56,5.183.116.0/24,18186,401922,LEASE_OR_HIJACK
2026-04-02 03:02:56,45.155.255.0/24,400395,20200,LEASE_OR_HIJACK
2026-04-02 03:03:01,45.155.255.0/24,20200,400395,LEASE_OR_HIJACK
2026-04-02 03:03:03,5.183.116.0/24,401922,18186,LEASE_OR_HIJACK
2026-04-02 03:03:03,194.156.163.0/24,23961,57695,LEASE_OR_HIJACK
2026-04-02 03:03:03,194.114.139.0/24,23961,57695,LEASE_OR_HIJACK
2026-04-02 03:03:04,16.14.229.0/24,20115,7843,LEASE_OR_HIJACK
2026-04-02 03:03:12,16.14.229.0/24,7843,20115,LEASE_OR_HIJACK
2026-04-02 03:03:13,103.84.55.0/24,136225,136184,LEASE_OR_HIJACK
2026-04-02 03:03:15,5.183.116.0/24,18186,401922,LEASE_OR_HIJACK
2026-04-02 03:03:19,194.156.163.0/24,57695,23961,LEASE_OR_HIJACK
2026-04-02 03:03:19,194.114.139.0/24,57695,23961,LEASE_OR_HIJACK
2026-04-02 03:03:19,45.155.255.0/24,400395,20200,LEASE_OR_HIJACK
2026-04-02 03:03:37,45.155.255.0/24,20200,400395,LEASE_OR_HIJACK
2026-04-02 03:03:37,194.114.139.0/24,23961,57695,LEASE_OR_HIJACK
2026-04-02 03:03:37,194.156.163.0/24,23961,57695,LEASE_OR_HIJACK
2026-04-02 03:03:37,38.255.61.0/24,213122,931,LEASE_OR_HIJACK
2026-04-02 03:03:37,38.240.32.0/24,213122,931,LEASE_OR_HIJACK
2026-04-02 03:03:37,38.240.33.0/24,213122,931,LEASE_OR_HIJACK
2026-04-02 03:03:37,178.173.234.0/24,213122,931,LEASE_OR_HIJACK
2026-04-02 03:03:37,103.202.55.0/24,213122,931,LEASE_OR_HIJACK
2026-04-02 03:03:37,135.136.134.0/24,213122,931,LEASE_OR_HIJACK
2026-04-02 03:03:37,89.37.99.0/24,213122,931,LEASE_OR_HIJACK
2026-04-02 03:03:37,5.252.165.0/24,213122,931,LEASE_OR_HIJACK
2026-04-02 03:03:37,38.240.54.0/24,213122,931,LEASE_OR_HIJACK
2026-04-02 03:03:37,38.255.50.0/24,213122,931,LEASE_OR_HIJACK
2026-04-02 03:03:37,103.104.251.0/24,213122,931,LEASE_OR_HIJACK
2026-04-02 03:03:37,38.255.49.0/24,213122,931,LEASE_OR_HIJACK
2026-04-02 03:03:37,185.147.34.0/24,213122,931,LEASE_OR_HIJACK
2026-04-02 03:03:38,194.114.139.0/24,57695,23961,LEASE_OR_HIJACK
2026-04-02 03:03:38,194.156.163.0/24,57695,23961,LEASE_OR_HIJACK
2026-04-02 03:03:39,45.155.255.0/24,400395,20200,LEASE_OR_HIJACK
2026-04-02 03:03:48,45.155.255.0/24,20200,400395,LEASE_OR_HIJACK
2026-04-02 03:03:52,45.155.255.0/24,400395,20200,LEASE_OR_HIJACK
2026-04-02 03:03:52,194.156.163.0/24,23961,57695,LEASE_OR_HIJACK
2026-04-02 03:03:52,194.114.139.0/24,23961,57695,LEASE_OR_HIJACK
2026-04-02 03:03:52,45.155.255.0/24,20200,400395,LEASE_OR_HIJACK
2026-04-02 03:03:57,45.155.255.0/24,400395,20200,LEASE_OR_HIJACK
2026-04-02 03:03:57,194.156.163.0/24,57695,23961,LEASE_OR_HIJACK
2026-04-02 03:03:57,194.114.139.0/24,57695,23961,LEASE_OR_HIJACK
